License State,Adverse Actions for Drug and Alcohol Violations
Texas,6964
California,5379
Florida,4148
Ohio,3896
Arizona,3821
Louisiana,3764
Virginia,3609
Pennsylvania,3107
North Carolina,2971
Alabama,2865
Missouri,2839
Mississippi,2706
Minnesota,2642
Michigan,2585
Indiana,2493
Tennessee,2416
Colorado,2332
Washington,2195
Arkansas,2166
Illinois,2101
Kentucky,2019
Oregon,1970
Oklahoma,1871
South Carolina,1631
Connecticut,1580
Georgia,1578
Massachusetts,1354
Maryland,1125
Iowa,1056
Kansas,998
Utah,978
Wisconsin,955
New Jersey,786
New Mexico,723
West Virginia,715
Maine,700
Nebraska,614
New York,606
Nevada,574
Montana,531
New Hampshire,457
Idaho,400
South Dakota,394
Wyoming,382
Vermont,343
Delaware,279
Rhode Island,257
Alaska,253
North Dakota,251
District of Columbia,82
Hawaii,56
