trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
Trojan Labor,Irving,TX,0,0,4/8/14
IHOP #3467,Durant,OK,145,8844.82,11/5/13
Brasil Cafe,Houston,TX,2,0,8/3/14
Copperfalls Aveda Spa & Salon,Castle Rock,CO,1,0,7/19/14
Mr. Spots Bowling Green,OH,1,0,6/21/14
Salon Method,Beaumont,TX,2,637.24,2/27/16
Inspirations Home Care IV,Corona,CA,4,4892.23,2/8/14
Kayton Co,Whitehall,PA,8,0,9/13/14
Shadybrook Farms,Dover,DE,0,0,8/11/15
Samee's Pizza Getti,Rockwall,TX,1,0,8/30/14
Memco Inc.,Houston,TX,0,0,4/3/16trade_nm,zip_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
Trojan Labor,75061,0,0,4/8/14
IHOP #3467,74701,145,8844.82,11/5/13
Brasil Cafe,77006,2,0,8/3/14
Copperfalls Aveda Spa & Salon,80104,1,0,7/19/14
Mr. Spots,43402,1,0,6/21/14
Salon Method,77706,2,637.24,2/27/16
Inspirations Home Care IV,92881,4,4892.23,2/8/14
Kayton Co,18052,8,0,9/13/14
Shadybrook Farms,19901,0,0,8/11/15
Samee's Pizza Getti,75087,1,0,8/30/14
Memco Inc.,77092,0,0,4/3/16
Mikado Japanese Restaurant,12801,1,0,10/6/14
Davis Development Company Inc,91730,0,0,7/22/16
Chicken Kebab,11577,0,0,9/22/14
Brooke Orchards,83672,0,0,9/23/14
Widell Renovations,74106,0,0,10/7/16
Alarm Force,30303,0,0,10/26/14
Sunrise Buffet,74728,0,0,11/5/14
Bobby Lupos Express,76549,20,4194.06,10/1/14
El Corral Mexican Restaurant,27522,2,1473.56,8/18/14
In Style Hair,32828,10,6530.01,12/10/13
Awesome Auto Salvage,75051,55,149448.88,8/30/13
Wards Grocery,36079,5,3053.38,3/12/14
New Age Protection Inc.,22150,21,14860.65,10/1/15
Discount Smoke Shop,65401,10,6271.12,4/27/14
Diversified Geosynthetics Inc,79059,53,48280.72,3/6/14
A Lumination Electric,32808,2,1200,5/5/14
Taco Bell #15569,93063,3,566.14,12/16/13
Black Bison Pub,67878,9,4685.86,2/1/16
